Timestamp,What Happened and When? (Feel free to include incidents that happened to you or to others close to you in your program/department/campus/lab/disciplinary group),What Was Your Status When the Incident(s) Happened?,"What Was the Status of the Perpetrator(s) (Particularly, relative to you)?",What Type of Institution Was It?,(Optional) What Was The Name of the Institution(s),Your Field/Discipline,The Gender of the Harasser,Institutional Responses to the Harassment (If Any),Institutional/Career Consequences for the Harasser (If Any),The Impact of the Harassment on Your Career,The Impact of the Harassment on Your Mental Health,The Impact of the Harassment on Your Life Choices/Trajectory,"Other Comments You'd Like to Add  (If you'd like me to know your name or the name of the perpetrator, please email me privately at gettenure@gmail.com. The purpose of this survey is to gather anonymous information to give a sense of scale.  As always, I will publish no information without explicit permission and extensive prior discussion)",What Was the Gender of the Harasser?
12/11/2017 12:14:43,"I was a Research Assistant for a famous older male professor who visited my R1 university each year. A few weeks into the quarter, he asked me to get him a stack of books from the library, and then requested I bring them up to his hotel room. Once I was there, he asked me what I was doing that weekend and invited me out to dinner on Saturday night. I immediately felt profoundly uncomfortable being alone with him in his hotel room. I left as soon as I could and rejected the invitation. After this encounter, he no longer showed any interest in my research or in mentoring me.  ",PhD student,Eminent professor,Other R1,,Political Science,,None. I didn't report,None. I didn't report,I lost the opportunity to be mentored by this eminent member of my field.,It made me feel insecure. I blamed myself for not having acted more assertively.,What to say. I vow to be a better mentor.,,Male
12/11/2017 12:16:36,"Sample prep while visiting lab, was spoken to in questionably appropriate terms by managing lab tech. Brushed it off, as I was really focused on learning the procedure - was going to be doing tens of thousands of dollars worth of sample prep on this trip - needed to do it correctly! Proceeded to continue with what would be several days of sample prep, but was physically touched, held down on the floor and against machinery, the male lab tech requested I kiss him ""just a little."" He knew I was married and had an infant child. I fled, grabbing my backpack and cell phone on the way out the door. The tech phoned me repeatedly after I left. ",Ph.D. student,lab tech ,Other R1,,Earth Science,,"Response was immediate, and excellent. I was told to find a safe place (the female colleague's house I was staying at during my visit), write down what happened, and email my account to my advisor at home institution, lab director, professor I was visiting, and my partner.","He was immediately placed on leave and after formal institutional review, was removed from his position.","I have never done field or lab work alone or in comfort since. My advisor changed his policy to not allow his female students to do so either; the undergrads I supervised also were never permitted to work alone - I have been clear as to where and why my policies stand. It became a huge millstone - I was no longer able to do my own work - I needed a 'buddy' at all times. In some instances, this is very safe and a good idea - in others, it's a huge hinderance to productivity.","Constant paranoia and discomfort working in laboratory facilities with men I am unfamiliar with - I just can't concentrate on doing science while with alone another unknown man of any position (scientist, student, custodial worker, etc.). ","I have left academia, and it has taken four years to come to terms with this. I have worked hard to cultivate a different career trajectory, which I do love, but is very different from original thought. ",,Male
12/11/2017 12:41:35,"A senior faculty member would (and probably still does) stare directly at women's breasts while speaking to them, avoiding eye contact entirely. This was well known in the department; graduate students would warn each other that this was a common occurrence.",graduate student,Senior faculty (at Associate or Full level),Other R1,,Psychology,,None that I know of. I'm not sure if anyone brought it to the institution. ,He's currently the Dean of the Graduate School. I guess there haven't been any consequences.,"Luckily, I didn't work with this faculty member so could avoid him. ","I mostly felt annoyance and disgust. The fact that the graduate students warned each other (indicating a pattern of this behavior) enraged me, but I assumed that the department wouldn't do anything about it even if reported. Just one more thing to deal with as a woman in the world.", ,,Male
12/11/2017 12:44:42,"I met an older colleague in my field - a retired academic from an extremely prestigious institution - he got in touch with me saying they would be in my city and he desired greatly to meet me he liked my work. (My field is quasi-academic, but I'm independently based, although also pursing a degree in a different subject). After about a year or so of pleasant, occasional, and exclusively collegial acquaintance  (mainly through email or the occasional meeting), I began receiving emails from this older colleague telling me he had 'reviewed my work' and he was 'aggrieved' to tell me that he had found it to be 'horribly inadequate.' There followed an exegesis of several pages attacking some of my previously published work.  The attacks involved very minor details. There were veiled threats if I refused to prove receptive to more of these diatribes. I immediately informed him I was not interested in receiving these 'critiques' and asked him to cease contact altogether. 

A few months later, we were both at the same conference, and he followed around (stalked me).  I knew he would also be at the conference, and strongly considered not attending, but there were many other old friends I wanted to see there. After this conference he wrote me another email rebuking me for ignoring him. I wrote back saying he had crossed a boundary I had set and that was unacceptable to me. I blocked his email.","Well-known in my field (which is rather narrow - prefer not to be more specific). Mid-career, with a number of significant recognitions to my name.","He introduced himself as a well-wisher, a friend, and a great admirer of my work. (He is very prominent in the field I work in [as a retired academic], although he is relatively inactive now. ) In relation to him, I am a relative 'newcomer', but in some regards have done more. ",Elite Institution/Ivy League,prefer not to say,literature - humanities,,none,none,"I wouldn't go to another conference if he were there. Which actually isn't good for me, as I tend to work in relative isolation. We have certain friends in common and I've had to explain why I am compelled to make sure I don't come into contact with him. ","Bad. I felt extremely traumatized by these emails. I tend to struggle with a lot of self-doubt as it is. I should add that my field is academic, but not an 'exact science.' The emails I received (which were deeply manipulative and creepy), as well as being stalked at that conference, made me feel sullied by his horrendous behaviour. I blame myself: why didn't I see this coming, why was I too quick to trust his intentions as good, why didn't I just tell him to get lost at that conference. ","It's made me not want to meet with any other male colleague in person. Ever.  My trust in men - never high -  has just dipped to an all-time low. I doubt it will ever recover. As I mentioned, I probably will feel compelled to avoid any professional gatherings where he would be present.","The academic angle to this is that he taught at an extremely prestigious institution for decades. His prestige, stemming from the vast prestige of the institution where he taught, was, I felt, instrumental in his harassment and attempted manipulation of me, in addition to the gendered aspect.

",Male
12/11/2017 13:24:37,"Not directly related to me, but male students in my PhD cohort decided as a group to look up the newly admitted students and preceded to judge each of the new female admits' appearances based on the pictures they could find of each of the women on social media. This is just one of many similar experiences. Additionally, one of my friends in the department was locked in a room and forced to listen as a colleague described all of his sexual exploits to her despite her requests that he stop.",Graduate Student,Graduate Student,Elite Institution/Ivy League,,Social Sciences (not noting more for anonymity purposes),,"The department is working on trying to make the environment much better. I've heard rumors of a survey in the works. We also have close to yearly presentations by the employees in charge of Title IX at the university discussing the nature of sexual assault and how to prevent a hostile work environment for minorities.(That said, these are usually limitedly attended and lead to uncomfortable discussions by a small group male colleagues about how each example of discrimination or harassment were not actually good examples and that those types of situations are fine to say to a colleague.)","The first incident was not reported, the second led to an office reassignment for the harasser in a less desirable location.",None as of yet,"Some, but fairly limited.  As a result of these types of incidents, most of the women in my cohort do not hang out with the large group of men that are the primary organizers of social events. I and many other women didn't have a strong social network for much of the beginning of grad school. I already struggle with mental health issues so this exacerbated existing problems.",,,Male
12/11/2017 13:41:44,"Major professor constantly lured young women in (particularly women of color/first generation students and otherwise marginalized women in the academy) with promises of being a ""father like"" figure. Part of this relationship was built on young women's willingness to confide in this mentor, including private information about sexual relationships and assertion to these graduate students that they could only be successful with the support of this mentor. Mentor often referenced his own sex life with his wife, made flirtatious comments to women mentees about his desire to pursue a relationship with them, and commented on the physical attractiveness and bodies of these mentees and other women in public spaces. Upon graduating, and realizing how inappropriate this behavior was, I shared my story with other women in our department who were generally aware of these patterns, and many of whom shared the same experiences. ",Graduate Student,"Full Professor, Dissertation Advisor",Other R1,Big 10 School,Sociology,,"I never shared my experiences institutionally given the length of time the harassment went on, and because of my own fears that I was complicit because I did not establish healthy boundaries early on in the relationship. ",None that I am aware of,"I am currently lacking a strong mentoring network since my previous mentor emphasized working with him and him alone. Anytime I tried to connect with others, my mentor would state that I could not trust others and that I should work only with him. When I tried to move on and publish on my own, this mentor told me that I was not prepared and needed to continue writing with him exclusively. Fortunately, at that point, I had moved beyond the brainwashing and was able to get some articles out on my own and with other researchers. However, I do still find it difficult to trust male mentors due to this experience. I often called in sick and/or ""worked from home"" for fear of interacting with this faculty member on campus. I am also overcome with fear at any of our national conferences and have considered canceling presentations to avoid confrontation.","For a long time, I thought I was not smart enough and/or qualified enough to have a Ph.D. I questioned whether I was granted my Ph.D because my mentor was physically and sexually attracted to me, not because of my own merits. I was in counseling for 6 months working through some of these issues. ",,,Male
12/11/2017 13:46:40,"This prominent history professor had started to take me under his wing and we would meet frequently to talk about my research ideas. There was a barely noticeable sexual vibe during our meetings, so I just brushed it off. I was just starting my PhD program and getting the support from this man meant a whole lot. One time we met to discuss my summer research plans and I told him I needed to get funding. He proceeded to ask how much money I needed and offered to pay for it. I was completely shocked and confused, not knowing how to respond. A red flag went off in the back of my mind because I felt that accepting his personal money would move the relationship in a more personal direction. I quickly thanked him but said that there was no need because I was applying for department funding. Something told me to stay away from this man and I eventually changed my research topic (not necessarily directly related to this). I always felt weird about this incident and there was no one I could process it with. Was I just really lucky? Should I have taken the money? Was he just that vested in my research? Would his wife (also a prominent professor on campus) know about this? Would it be a gift coming from both of them? I haven't processed this with any of my grad program friends because they all work with this man and they all see him as an academic father figure. Its a small weird episode, but I share it because this man is a powerful force at my institution and this is the only place where I feel safe sharing it. ",First year PhD student ,Full professor,Elite Institution/Ivy League,,Humanities ,,Never reported it or shared it with anyone at my institution.,,,"Just made me very paranoid. Because of the position of this man and his wife in the department and institution I felt totally silenced. I feared sharing this with classmates because I wasn't really sure what his offering meant. I also didn't want others to question why this man was offering research money to me and not others. Or did he offer it to others? Again, just don't know. ",,,Male
12/11/2017 13:49:43,"Playing musical chairs at a department party, my PhD advisor grabbed me by the waist and forced me to sit on his lap. ",Graduate student,Professor; my major advisor,Other R1,,Ecology,,Did not report,None,,"Compounded with other incidents, this contributed to anxiety and depression. ",,,Male
12/11/2017 13:54:02,"Two incidents, one in my MA program and the other in my PhD program. First, a professor currently under investigation for sexual harassment and rape, whose inappropriate partying with students was an open secret, joked about running me over because I “wasn’t fun” when I went home from the bar instead of back to his house with the other students, both male and female. I got disgusted by the drunkenness, sexual aggression, and belittling/shutting down of women when they tried to talk about their ideas and walked home rather than ride with my friends to his house. Glad I did, because he has numerous allegations of assault. 

Second, a member of my dissertation committee in my PHD program “joked” with a male grad student at a university event where we were all conversing at the after/social event. They were talking about a famous scholar who got divorced and married his female grad student. The professor, married to another prof, said that if his wife didn’t stay in line he could always hook up with one of his grad students (I was his only female grad student in this discussion). All the men laughed and I got infuriated. It felt demeaning to both me as his student and to his wife. I responded that since his wife was also a professor, she could do the same. He later apologized, but I always felt after that I had to chase down this professor to get his feedback and letters of recommendation.  Now that I’m done and in the job market I wish I had just dropped him from my committee as his support is still minimal. But it’s never that easy, as there wasn’t anyone else in my department that specialized in what he did, I didn’t want to rock the boat, etc. ",Grad student ,Professors. Second one on my committee ,Other R1,"UCSC, UNM",Literature,,None. Didn’t report. ,None. ,"It’s contributed to my decision that academia is broken and not dealing with its problems. I’m on the job market now, but if nothing happens this year I’m pursuing a different career. ",Made me doubt my worth as a scholar. Both incidents made me feel objectified. ,Contributed to the serious questions/doubts I’m having about continuing in this field. ,,Male
12/11/2017 13:53:54,"Over the course of a year or so, a white male co-worker at the university department where I worked sexually assaulted and harassed multiple women, while claiming it was ""okay, because he [was] gay."" These incidences included grabbing of breasts and buttocks, shoving his hand in between our legs, poking our vaginas with broom handles, and constantly making comments or asking about our sexual exploits. If a woman dared to bend over or anything, he would make a suggestive comment. The worst for me was when he took a broom handle and forcefully shoved it between my legs and nearly into my vagina from behind when I was not looking. When he was reported to the department manager (a woman) by several of us, he claimed psychological stress due to his sexual orientation, and was given the highest promotion in the department. So we got to spend the rest of our employment working under him. ",A junior employee,A fellow employee,Other R1,,,,Promotion,None,"Chastised by manager after he reported me for ""poor work ethic"" in retaliation",Lower self worth,I distrust men almost implicitly in the workplace and avoid being alone with them (I had other experiences that occurred at other jobs not in academia),,Male
12/11/2017 14:01:10,"At a biological field station in 2016, I was a introduced as a new faculty member to the former station director by the current station director. The retired director shook my hand with his right hand, and grabbed my behind with his left hand. The current station director just laughed hysterically. ","PhD student about to defend, hired as tenure track faculty",Retired faculty,Other R1,,Ecology,,laughter,none,Chose to decrease my research at field station and interactions with acting director,Contributed to anxiety stemming primarily out of concern for safety of female students at this field station given acting director's reaction. ,,,Male
12/11/2017 14:19:34,"I was a grad student taking classes at a biological field station in 2014. Two female students were assaulted by the same individual that summer. One was reported to the station Director immediately, the other was not reported until the following year. Rather than acting as a mandatory reporter, the response of the station Director to the delayed report was to contact multiple other students that were on site at the time to inquire if they remember if the interaction was consensual or not. ",The victim was an undergraduate,also an undergraduate,Other R1,,Ecology,,Initially the station director did not report the incident. I learned about it through him in casual conversation - he felt that it was appropriate to divulge details of the situation because he did not believe the victim. I contacted his superiors and reported the interaction. ,"I don't know what happened to the undergraduate perpetrator. The station director's contract was not renewed, though I don't know if it was directly related to this incident. ",None,"I did not feel safe or protected at the field station; I felt that if I reported my own harassment, I would be humiliated in front of my peers. ",,,Male
12/11/2017 14:27:09,"In 2008 my genetics professor would repeatedly send me sexually explicit emails addressed to his girlfriend. First I ignored it; the second time I politely responded that he had the wrong address; the third time I confronted him after class. He explained that my name was next to hers in his address book and it was a mistake. The next time it happened I confronted him again, and his creepy response was ""curiouser and curiouser"". ",Undergraduate,Professor,R2,Florida International University,Biology,,I did not report it,,,,,,Male
12/11/2017 15:27:05,"I was a first year undergrad. I took a philosophy course by a prof who was also the head of a very prestigious publishing house. After a successful exam he approached me to invite me to get involved with the publishing house, which I was really excited about. As soon as I got my first couple of assignments (reviews, social media) he started to flirt with me, invited me to his house ""to see his library"" and said he could make me meet Umberto Eco if I went to the Frankfurt Buchmesse with him. As soon as I understood the threat I felt humiliated and frigthened, wrote an email to him and left the job, never took his class again. Later I learnt that at the time he had a gf in Germany who was his former grad student and an ex-wife he left as soon as she got pregnant. He was around 60 at the time, I was 19.",Undergrad student,Full professor,Other Type of School,was the best state university in an Eastern European country,philosophy,,none,none,"none, luckily","It was not the first time, it made me very insecure about my achievements. I was frightened that any recognition/opportunity I'd receive was for the looks.","Quit philosophy, not academia. Later, during the PhD I had lots of non-sexual harassment and bullying. I am now quitting academia.","I hope the fact that this story is from Europe is alright, I was not sure about the scope of your inquiry. Good luck and thank you for doing this!",Male
12/11/2017 16:06:59,"A senior (full) professor repeatedly made compliments about my appearance (hair, skirt, boots), both in front of others and when alone. For example ""I couldn't focus on the research talk because I was so distracted by your hair."" (I later heard this person had had relationships with graduate students before)",graduate student,full professor in same research group,Elite Institution/Ivy League,,Mathematics,,I didn't know who to report such an incidence.,None.,When wanting to change advisor later on he would have been the obvious choice (and academically a good fit). However I ended up switching fields because I did not want to be dependent on this person.,,"See above. Switched field not only, but also because of these incidents.",,Male
12/11/2017 16:18:24,"In the senior year of my undergraduate degree, a professor who mentored me (I was doing an independent study with him) sent me an e-mail while he was drunk saying that sex is a great way to destress and that he could help me with that. I didn't know what to do, so I just didn't respond. A week later he sent me an e-mail where he was mad and he blamed me for giving him the wrong idea.  ",undergraduate student,professor (not sure if he was tenured),Other R1,Florida International University,English,,,,I stopped working with him/receiving his help,"I felt weird going into the department, so I either didn't or took different routes",,,Male
12/11/2017 19:00:10,"Over the course of several years, I was harassed by a senior colleague who was tenured and also directed an academic program on our department.  Several inappropriate comments were made, there was inappropriate touching and suggestions that we should meet alone in inappropriate places.   ",Assistant Professor,Tenured Professor,Other R1,UC Davis,,,None,,,,,,Male
12/11/2017 19:00:31,"Over the course of several years, I was harassed by a senior colleague who was tenured and also directed an academic program on our department.  Several inappropriate comments were made, there was inappropriate touching and suggestions that we should meet alone in inappropriate places.   ",Assistant Professor,Tenured Professor,Other R1,UC Davis,,,None,,,,,,Male
12/11/2017 19:21:27,"A fellow graduate student stalked and harassed me, asking me on various dates. I found out he had done this with every single female in the department! The faculty were aware but chose to take no action and decided to just sweep all our complaints under the rug. ",Graduate student,Graduate student,Other R1,Northern Illinois University ,Industrial/Organizational Psychology,,The faculty were made aware but chose to sweep these incidents under the rug. ,"Years after multiple offenses, he was asked not to attend weekly research meetings, but has not been kicked out of the program. ",,,,Thank you so much for doing this!,Male
12/11/2017 19:23:50,A professor made unsolicited contact during a study session. He later asked me to sleep with him and told me he cared deeply about me. ,Master's student ,Associate Professor ,Other Type of School,,Linguistics ,,,,,,,,Male
12/11/2017 20:30:02,I sexual harassed me in my old lab by a medical student who currently graduated. ,Single,Single,R2,University of Illinois,Pharmacology,,Sat down and talked to him. ,"None,  just a slap on the wrist.",I had to switch fields.,"I now have PTSD,  anxiety, and depression.",I'm still going to get this PhD. ,,Male
12/11/2017 20:46:46,Thighs and breasted groped by professor when I was an undergraduate after a field trip,Undergraduate at big prestigious research university ,Professor and Instructor in Course,Elite Institution/Ivy League,a UC,"Biology, but Professor was in different department",,I didn't report it,I didn't report it,"Nothing, I just think of it now and then","Nothing, I just think of it now and then","Nothing, I just think of it now and then",Thanks for giving me a space to share this,Male
12/11/2017 21:19:03,"In June of 2006, at a pub near campus after conference event. Senior professor, a man I was going to ask to be my supervisor, shouted at and verbally harassed me on patio full of people, in front of an amassed group of colleagues. He made fun of me and speculated about me sleeping with the male student I happened to be sitting with, and then worse, go on to accuse me of being no good at my work, tell me that I shouldn’t start a reading group because my language skills – in a class he had never taught me – weren’t good enough. He publicly humiliated me and plenty of people, male and female colleagues alike, sat there and said nothing.","21 year old, first year Ph.D. student","Head of my graduate department, senior scholar in my field I was going to ask to be my supervisor",Other R1,University of Toronto,Medieval Studies,,"None - from other faculty and mentors:  skepticism, excuses, apologia- phrases like ‘I wasn’t there, I can’t comment’ or ‘oh but he’s such a good scholar’, and , the worst, ‘but you should still work with him because he’s such a big name.’",none,I had to switch major and minor fields and change dissertation direction,"Anxiety, depression, humiliation, shame",I completed my Ph.D. and avoided the hell out of him - but it was socially very difficult and I was judged by colleagues and fellow students for refusing to work with him.,,Male
12/11/2017 22:54:02,"I was working as a research tech while applying to grad school. Jokingly, I said I'd take on any project to publish a paper to make my application better. My advisor called me a ""slut"" in front of another tech. Said tech (male) later brushed it off as ""non-sexual"" when I vented to him. This was the beginning of a very, very bad relationship with my advisor.",Research Technician,Tenured Professor,Elite Institution/Ivy League,,Biology,,Did not report,None,"My application to grad school had already been submitted by the time my relationship with my mentor went south. After I got into a few good programs, I quit the job early. However, by this time I was depressed and extremely disillusioned with research and academia. I took the position in my program because I didn't want to waste years of hard work, and I thought I had no other options. I performed poorly my first 2 years because of this outlook. Luckily, things are getting better.","I still carry deep shame about quitting, and about my utter lack of productivity in lab (while my male co-worker was getting publications). I still have great insecurity about my intelligence, research skills, and work ethic. I look back on that year with deep shame and regret... I even feel guilty for the way it ended. I tell myself that if I had been less sensitive and more resilient, it could have worked out, and I'd still be on speaking terms with my former advisors...","I am currently in a good program, and ""recovering"" from the emotional insecurities brought on by my former advisor. After years of swearing I'd never work in academia, I am beginning to re-consider it.",,Male
12/12/2017 1:02:56,"A). A respected professor invited me and a number of other females grad students to his cabin for ""mentorship"" purposes. He also hit on his undergrad students. B) A grad student sexually harassed female graduate and undergraduate students. he was accused of exchanging grades for sexual favors. ",graduate student ,"A) tenured professor, B) grad student",Other R1,University of Wisconsin,Sociology,,"None, cover-ups",None,,,,,Male
12/12/2017 1:31:19,"Treating a professional conference like a week-long singles bar experience is an all too common attitude.  On public transit, I once overheard a chat between senior researchers from another field where one said ""it doesn't count if it happened at a conference.""  For a more personal story of sexual misconduct, I attended a conference as a Ph. D. student.  During one of the breaks, a full professor from another institution introduced himself to me.  Within a few minutes of this introduction, he suggested we skip the afternoon talks and ""go explore the city together."" I declined and spent the rest of the conference avoiding him.",Ph. D. student,Professor,Elite Institution/Ivy League,,Mathematics,,Where does one even report harassment that occurs at a conference?,"He trashed his opportunity to collaborate with me, but otherwise none.","As this was certainly not an isolated incident, I started to dread attending conferences.  I would have to be constantly on guard and self-conscious of my behavior.  I would want to be friendly enough to be able to interest colleagues in my research, but not be mistaken for being ""available"". ""Am I smiling too much? Does he think I'm flirting with him? What will be the consequences if I'm put in the position of having to reject him? Etc, etc.""  All the energy spent on this meant less to spend on networking and learning, the intended objectives of a conference.  This became yet another obstacle in the attempt to find collaborators, viewing male colleagues initially with suspicion in this male dominated field.    ",It was a drain.  ,"While there was a confluence of reasons for my decision to leave academia, the discomfort I felt from being viewed as a sexual opportunity before being viewed as a mathematician and researcher was discouraging.",,Male
12/12/2017 1:47:06,"Systematic harassment of (usually depressed, vulnerable) female MSc and DPhil students. Dating and sleeping with some of them, getting others drunk.",DPhil student,Sole DPhil supervisor,Elite Institution/Ivy League,University of Oxford,Area Studies,,"Very little. College were keen to pursue a formal complaint, the Centre was not, and preferred to (on two occasions) have two senior members talk to him. He was removed as my sole supervisor and I was told that there was an informal policy that he was not allowed to supervise female MSc students. Nothing else was done unless I was to make a formal complaint. I was strongly advised against doing this because I might become known as a 'troublemaker'. I was also told that because he was 'a rising star' it was likely that he would get a job elsewhere soon and then it wouldn't be a problem anymore. Finally, I was told that the informal complaint was anonymous, but within days it was clear that the harasser knew my identity and that of my friends (and co-complainants).",None. The following year he was promoted to Head of Centre. A few years later awarded a Professorial Chair by another prestigious university.,"None really, just a burning sense of injustice and resentment that this type of behaviour is allowed, even rewarded and dismissed because they are 'a rising star'.",None.,None that I can see.,,Male
12/12/2017 4:49:17,"Upon commencing work I became aware that a married colleague in his 60s was openly dating a 20-something Masters student from the department - apparently the latest in a long line of affairs with graduate and undergraduate students, who were gifted with extra resources such as money for conference trips, opportunities to co-write papers and (it was rumoured) great marks. I was shocked by how accepting everyone seemed of this. I spoke to the HoD, asking - are these rumours true? He said they were, but wrung his hands, saying, ""there's nothing we can do."" I was devastated! He said if confronted, the colleague would simply lie, subtly pointing out that the man's wife was head of HR for the whole University. He said - what I will do is move the student out of his office, which they were sharing(!). He got her her own office, and that was meant to be that. I looked up the University's code of ethics governing staff-student relationships and you could drive a truck through it. It turned out he'd written it. I felt sick about it all but couldn't see any action to take, particularly given other colleagues were turning a blind eye. One who worked in feminist philosophy remarked that the students concerned were over the age of consent and she didn't hold with 'seeing women as victims'. A few years later a complaint came in from the high schools where we taught Ethics and guess who was super-keen to go out there and deliver it? The complaint was about inappropriate contact after hours (texting) with a 16 year old girl. I was so upset. The University only investigated after certain people pushed hard from inside. I never found out the results, and the colleague remained in place until he died of alcohol-related illness. 
What I want to comment on re. all this is that given the colleague was employed for over 30 years, how very many female students must have been caught up in the behaviour - and what happened to their educations? (If any are reading this, please consider that you may have been abused, even if you thought it was consensual.) Also, the wife who was head of HR for the whole University knew all about the behaviour, protected him for years, and even today she is still in place. I consider that appalling. How does she look herself in the mirror?",Teaching Staff,Departmental Colleague,Other R1,"University of Waikato, NZ",Philosophy,,Extended cover-up,Protected until he died of liver cancer.,"Because I said that what was going on was not ok, I attracted hatred from certain colleagues for years afterwards. It actually seems to me that the whole department / program suffered a profound moral degeneration through their collective choice to ignore the abuse and corruption. But that's a story for another time...","Massive stress, depression, feelings of hopelessness",still being determined,,Male
12/12/2017 7:03:26,"I was invited to give a talk by a London University along with two other panelists, among which I was the only academic. After the talk the first person to come up to me (a senior academic himself), rather than comment on the topic, felt it right to comment on my ""charming accent"" and ""lovely gesturing"". Shortly after, at the drink reception another member of the audience literally grab by ass and smiled.  When I reported it to the department head who organised the talk her response was that she will consider banning alcohol from these events from now on, as if the wine was responsible for some people being ******. ",post-doc,"Senior Academic, member of government or other public governing institution ",Elite Institution/Ivy League,,Social Sciences,,No more wine.,none,I decided not to attend dinner afterwards and 'network'. Now very wary of accepting such invitations,lingering anger. Now being much more aware of my own image. Stopped putting make up and always carefully picking my outfit not to reveal my figure. ,,,Male
12/12/2017 7:38:30,"Committee member and professor for the class I was TAing called me into his office a few days before my qualifying exam to tell me he found me attractive and his marriage wasn't that great, and that he'd been flirting with me all semester. He thought that because I smiled at his jokes in lecture, I must like him back too. I told him I wasn't interested and he swore several times and asked if I had a boyfriend. He still assumed he'd be my dissertation chair and got upset when I took him off the committee a few months later. ",grad student,Assistant professor; advisor; potential dissertation chair,Elite Institution/Ivy League,Cornell University,Linguistics,,I was allowed to take him off my committee,He got tenure,Minor; had to switch directions with my dissertation and it has taken me longer to finish,Panic attacks when I had to interact with him at all,,,Male
12/12/2017 7:46:39,"Member of staff had a sexual relationship with a troubled undergraduate student (not me). She was very mentally unstable. This person had multiple sexual relationships with other undergraduates, but this relationship was the most troubling. He helped her through her degree program.",student,Permanent member of staff.,,University of Reading,Archaeology,,None,None,"I was a student, but he never bothered me; None",,,,Male
12/12/2017 7:48:36,Discrimination and harassment because I am a woman; bullying; name-calling,,Faculty,,University of Utah,History,,None,None,Poor productivity,Depression,Decided to leave academic study,,Male
12/12/2017 8:26:14,"2012. I was TAing for a professor who I had heard awful things about and had avoided working with formally, even though he would have been instrumental to a large part of my research. I decided to sign up to TA for his course because I figured it would allow me to meet him and network without having to run the risk of dealing with a lot of his notorious behavior. There were 4 TAs, and he singled me out as his favorite. Over the course of the semester, he made comments about my clothes and my body (I had lost weight and was going to the gym a lot), looked me up and down a lot, just general skeeviness. At the end of the semester, after the last TA meeting, he asked me (in front of everyone) to stay behind. He closed the door, blocked it with his body, took my hand in his, held it firmly, and went on and on about how he would do anything he could for me, that anything I needed I should ask him for, etc. etc. I saw him at events after this and he ALWAYS made comments about my body. Despite all this, I asked him to sit on my dissertation committee--again, he is a giant in his field. But after my first chapter defense I quietly dropped him from my committee and never spoke to him again (he retired). 

He has a history of this. I spoke to other faculty members--men--who know him and are in positions of power, about how uncomfortable he made me feel, and how I felt like I did something to bring it on and encourage it. They've expressed disgust but I know for sure nothing was ever said to him.",Graduate student in my 4th year; post oral exams.,"Named Full Faculty Member, Director of an important academic center on campus",Elite Institution/Ivy League,Yale University,History,,I've told people with the power to do things here and while they expressed sympathy I'm pretty sure nothing ever happened,Besides his awful reputation nothing.,"None, unless I try to anticipate what it would have done for my career to have had a workable relationship with him","Significant. I've spent a lot of time wondering if I'm complicit-- if I should be ashamed for putting up with it because I needed something from him (letters of recommendation, his networking resources and contacts). As though that's how power works. ",Moderate. I would have positioned myself as a historian and he was the strongest Historian with a capital H on my committee. ,,Male
12/12/2017 8:32:50,"In my first year of undergraduate, I was sexually abused for months by my language professor and boss while working for him in his office. I was desperate for a father figure, but he told me he loved me and needed to express that physically. I said no, repeatedly, but felt powerless. I was barely 18. He was in his late 50s. ",Freshman in college,Professor and Work-Study boss,Small Liberal Arts College,,Middle Eastern Studies,,"After speaking to all levels of the administration about it, the President of the college told me that I should take it as a complement, because I am not beautiful enough to be a model and so clearly he was attracted to my intellectual ability. ","He was eventually let go, although the college President assured me that it was only because he received poor teaching reviews. He now teaches at another university.","Every time I received an A in any male professor's class, I attributed it not to my hard work or ability, but that the professor must be interested in me. Still today, after 10 years of higher education, I struggle to accept any praise from a male professor or meet alone in his office. There's a feeling of inevitability, and vulnerability. Even after years of therapy, there is an intractable part of me that simultaneously feels that I must be beautiful and attractive in order to succeed and gain the approval of the many male gate-keepers, and that when I gain that approval it is not because I actually deserve it. ",It broke me. It took me years to even start working through the shame and understand that it wasn't my fault. And still now I'm sobbing as I write this.,,,Male
12/12/2017 9:05:14,An instructor bullied and said inappropriate things to a student via email. A department chair brought female students into the restroom with him at an off-campus event.,visiting instructor,"the department chair was much higher than me, the instructor was senior to me.",Small Liberal Arts College,,Humanities and Media Studies,,"the instructor was dismissed, the department chair stepped down privately.",one instructor was dismissed and barred from campus,"the students who these events happened too both left the community, where they now had jobs. They left those jobs without having new job. Both still suffer ptsd. Personally, I am also giving up a job at this institution because I no longer wish to spend so much time in this atmosphere.",I am constantly on-guard and am leaving a stable full-time job.,"I am giving up my stable, full-time job to work from home as a freelancer. I am giving up a lot of perks and stability to reduce my exposure to people who condone sexual harassment/ commit soft harrassment",,Male
12/12/2017 9:08:01,"Prof had class do an voice over exercise where the point was to speak from the diaphragm. He proceeded to wrap his arms around only the female students to check we were doing it correctly, groping at our waists. A week later, an exchange student from Denmark told me the professor had told him Danish women were the prettiest and invited her to his house for dinner.",MA Student,Professor,R2,,Media,,It wasn't reported.,,None.,Loss of respect for institution and authority figures within it.,Less likely to choose to pursue my PHD.,,Male
